,code,area,year,sex,pop,data_type,x_cv_representative,x_cv_ascertainment
401,620000,Gansu,2014,total,25907800.0,p,0,0
402,620000,Gansu,2015,total,25995500.0,p,0,0
403,620000,Gansu,2016,total,26099994.0,p,0,0
404,620000,Gansu,2017,total,26257100.0,p,0,0
405,620000,Gansu,2018,total,26374576.75,p,0,0
406,630000,Qinghai,2005,total,5430001.0,p,0,0
407,630000,Qinghai,2006,total,5479964.0,p,0,0
408,630000,Qinghai,2007,total,5519973.0,p,0,0
409,630000,Qinghai,2008,total,5543019.0,p,0,0
410,630000,Qinghai,2009,total,5573031.0,p,0,0
411,630000,Qinghai,2010,total,5626713.0,p,0,0
412,630000,Qinghai,2011,total,5681724.0,p,0,0
413,630000,Qinghai,2012,total,5731701.0,p,0,0
414,630000,Qinghai,2013,total,5777900.0,p,0,0
415,630000,Qinghai,2014,total,5834204.0,p,0,0
416,630000,Qinghai,2015,total,5884300.0,p,0,0
417,630000,Qinghai,2016,total,5929991.0,p,0,0
418,630000,Qinghai,2017,total,5983797.0,p,0,0
419,630000,Qinghai,2018,total,6034508.897999999,p,0,0
420,640000,Ningxia,2005,total,5959996.0,p,0,0
421,640000,Ningxia,2006,total,6039993.0,p,0,0
422,640000,Ningxia,2007,total,6099974.0,p,0,0
423,640000,Ningxia,2008,total,6176924.0,p,0,0
424,640000,Ningxia,2009,total,6252033.0,p,0,0
425,640000,Ningxia,2010,total,6301357.0,p,0,0
426,640000,Ningxia,2011,total,6394502.0,p,0,0
427,640000,Ningxia,2012,total,6471900.0,p,0,0
428,640000,Ningxia,2013,total,6541900.0,p,0,0
429,640000,Ningxia,2014,total,6615401.0,p,0,0
430,640000,Ningxia,2015,total,6678800.0,p,0,0
431,640000,Ningxia,2016,total,6749002.0,p,0,0
432,640000,Ningxia,2017,total,6817795.0,p,0,0
433,640000,Ningxia,2018,total,6886626.455,p,0,0
434,650000,Xinjiang,2005,total,20100063.0,p,0,0
435,650000,Xinjiang,2006,total,20499990.0,p,0,0
436,650000,Xinjiang,2007,total,20949998.0,p,0,0
437,650000,Xinjiang,2008,total,21307980.0,p,0,0
438,650000,Xinjiang,2009,total,21586339.0,p,0,0
439,650000,Xinjiang,2010,total,21815819.0,p,0,0
440,650000,Xinjiang,2011,total,22087038.0,p,0,0
441,650000,Xinjiang,2012,total,22327803.0,p,0,0
442,650000,Xinjiang,2013,total,22643000.0,p,0,0
443,650000,Xinjiang,2014,total,22984695.0,p,0,0
444,650000,Xinjiang,2015,total,23600000.0,p,0,0
445,650000,Xinjiang,2016,total,23980007.0,p,0,0
446,650000,Xinjiang,2017,total,24446713.0,p,0,0
447,650000,Xinjiang,2018,total,24954433.6,p,0,0
448,0,China,2005,male,648565325.0,p,0,0
449,0,China,2006,male,677279999.0,p,0,0
450,0,China,2007,male,666673621.0,p,0,0
451,0,China,2008,male,671003937.0,p,0,0
452,0,China,2009,male,674950026.0,p,0,0
453,0,China,2010,male,687479997.0,p,0,0
454,0,China,2011,male,690679957.0,p,0,0
455,0,China,2012,male,693950000.0,p,0,0
456,0,China,2013,male,695577461.0,p,0,0
457,0,China,2014,male,697969507.0,p,0,0
458,0,China,2015,male,702175237.0,p,0,0
459,0,China,2016,male,705306784.0,p,0,0
460,0,China,2017,male,709454163.0,p,0,0
461,0,China,2018,male,713324223.1,p,0,0
462,110000,Beijing,2005,male,7790739.0,p,0,0
463,110000,Beijing,2006,male,7970554.0,p,0,0
